batch_id,elapsed_time_h,variable,assessment_value,reference_median,reference_scale,robust_z_score,absolute_score,is_anomaly
ASSESS_001,0,ph,7.089,7.0985,0.014826000000000342,-0.640766221502695,0.640766221502695,False
ASSESS_001,0,dissolved_oxygen_pct,38.57,39.644999999999996,1.1341890000000008,-0.9478138123363875,0.9478138123363875,False
ASSESS_001,0,temperature_c,36.77,36.835,0.08895599999999809,-0.7306983227663015,0.7306983227663015,False
ASSESS_001,0,agitation_rpm,93.6,101.85,3.854760000000002,-2.1402110637238105,2.1402110637238105,False
ASSESS_001,0,feed_rate_ml_h,0.0,0.0,1e-09,0.0,0.0,False
ASSESS_001,1,ph,7.084,7.095000000000001,0.014084700000000094,-0.7809893004466503,0.7809893004466503,False
ASSESS_001,1,dissolved_oxygen_pct,37.81,40.055,1.000755000000001,-2.2433063037406713,2.2433063037406713,False
ASSESS_001,1,temperature_c,36.73,36.81,0.0815429999999943,-0.9810774683297278,0.9810774683297278,False
ASSESS_001,1,agitation_rpm,92.7,101.35,4.892580000000006,-1.7679833543856167,1.7679833543856167,False
ASSESS_001,1,feed_rate_ml_h,0.0,0.0,1e-09,0.0,0.0,False
ASSESS_001,2,ph,7.091,7.1035,0.008154300000000747,-1.5329335442648704,1.5329335442648704,False
ASSESS_001,2,dissolved_oxygen_pct,38.82,41.09,1.2750359999999992,-1.7803418883859001,1.7803418883859001,False
ASSESS_001,2,temperature_c,36.72,36.83,0.08154299999999957,-1.3489815189531904,1.3489815189531904,False
ASSESS_001,2,agitation_rpm,94.2,102.15,5.263229999999996,-1.5104793064335036,1.5104793064335036,False
ASSESS_001,2,feed_rate_ml_h,0.0,0.0,1e-09,0.0,0.0,False
ASSESS_001,3,ph,7.086,7.092499999999999,0.013343399999999188,-0.4871322151775003,0.4871322151775003,False
ASSESS_001,3,dissolved_oxygen_pct,38.75,40.915000000000006,2.060814000000006,-1.0505557512710997,1.0505557512710997,False
ASSESS_001,3,temperature_c,36.77,36.805,0.10378200000000042,-0.33724537973826335,0.33724537973826335,False
ASSESS_001,3,agitation_rpm,94.4,104.35,4.299539999999998,-2.3142010540662477,2.3142010540662477,False
ASSESS_001,3,feed_rate_ml_h,0.0,0.0,1e-09,0.0,0.0,False
ASSESS_001,4,ph,7.085,7.095000000000001,0.010378200000000832,-0.9635582278236953,0.9635582278236953,False
ASSESS_001,4,dissolved_oxygen_pct,41.21,41.34,0.948864000000006,-0.13700593551868523,0.13700593551868523,False
ASSESS_001,4,temperature_c,36.78,36.82,0.07413000000000106,-0.5395926075812569,0.5395926075812569,False
ASSESS_001,4,agitation_rpm,98.2,105.30000000000001,4.596059999999992,-1.544801416865755,1.544801416865755,False
ASSESS_001,4,feed_rate_ml_h,0.0,0.0,1e-09,0.0,0.0,False
ASSESS_001,5,ph,7.093,7.0905000000000005,0.01111950000000042,0.22483025315881183,0.22483025315881183,False
ASSESS_001,5,dissolved_oxygen_pct,39.03,41.765,1.5641429999999994,-1.7485613527663395,1.7485613527663395,False
ASSESS_001,5,temperature_c,36.77,36.805,0.08154299999999957,-0.42922139239415735,0.42922139239415735,False
ASSESS_001,5,agitation_rpm,97.4,106.8,4.5219300000000064,-2.078758406255731,2.078758406255731,False
ASSESS_001,5,feed_rate_ml_h,0.0,0.0,1e-09,0.0,0.0,False
ASSESS_001,6,ph,7.088,7.0935,0.017791199999999355,-0.3091415980934291,0.3091415980934291,False
ASSESS_001,6,dissolved_oxygen_pct,40.5,42.349999999999994,1.593794999999999,-1.1607515395643704,1.1607515395643704,False
ASSESS_001,6,temperature_c,36.74,36.83,0.05930399999999873,-1.5176042088223092,1.5176042088223092,False
ASSESS_001,6,agitation_rpm,97.4,107.2,4.81845000000001,-2.033849059344805,2.033849059344805,False
ASSESS_001,6,feed_rate_ml_h,0.0,0.0,1e-09,0.0,0.0,False
ASSESS_001,7,ph,7.08,7.087,0.012602100000000258,-0.5554629783924528,0.5554629783924528,False
ASSESS_001,7,dissolved_oxygen_pct,39.97,42.655,1.0378199999999989,-2.5871538417066593,2.5871538417066593,False
ASSESS_001,7,temperature_c,36.69,36.825,0.08154299999999957,-1.6555682278062596,1.6555682278062596,False
ASSESS_001,7,agitation_rpm,98.3,107.25,4.3736699999999935,-2.0463363719713685,2.0463363719713685,False
ASSESS_001,7,feed_rate_ml_h,0.0,0.0,1e-09,0.0,0.0,False
ASSESS_001,8,ph,7.078,7.0905000000000005,0.008154300000000747,-1.5329335442648704,1.5329335442648704,False
ASSESS_001,8,dissolved_oxygen_pct,41.34,43.28,1.445535000000002,-1.3420636650098372,1.3420636650098372,False
ASSESS_001,8,temperature_c,36.79,36.81,0.05930399999999873,-0.3372453797383575,0.3372453797383575,False
ASSESS_001,8,agitation_rpm,99.5,108.9,4.670189999999998,-2.012766075898413,2.012766075898413,False
ASSESS_001,8,feed_rate_ml_h,0.0,0.0,1e-09,0.0,0.0,False
ASSESS_001,9,ph,7.077,7.0885,0.008895600000000337,-1.2927739556634077,1.2927739556634077,False
ASSESS_001,9,dissolved_oxygen_pct,41.17,42.555,1.2157320000000003,-1.139231343750101,1.139231343750101,False
ASSESS_001,9,temperature_c,36.69,36.83,0.10378200000000042,-1.3489815189531904,1.3489815189531904,False
ASSESS_001,9,agitation_rpm,104.2,110.6,3.9288899999999978,-1.6289588153397003,1.6289588153397003,False
ASSESS_001,9,feed_rate_ml_h,0.0,0.0,1e-09,0.0,0.0,False
ASSESS_001,10,ph,7.078,7.09,0.008895600000000337,-1.3489815189530905,1.3489815189530905,False
ASSESS_001,10,dissolved_oxygen_pct,42.08,43.08,1.0526460000000013,-0.9499869851783019,0.9499869851783019,False
ASSESS_001,10,temperature_c,36.77,36.825,0.08895600000000337,-0.6182831961868523,0.6182831961868523,False
ASSESS_001,10,agitation_rpm,99.5,111.1,4.07715000000001,-2.845124658155811,2.845124658155811,False
ASSESS_001,10,feed_rate_ml_h,0.0,0.0,1e-09,0.0,0.0,False
