elapsed_time_h,robust_anomaly,ml_anomaly,detector_status,flagged_variables,maximum_robust_score,ml_anomaly_score,ml_threshold
0,False,False,normal,,2.1402110637238105,0.4327319709090686,0.5548645973279172
1,False,False,normal,,2.2433063037406713,0.4818007543688036,0.5548645973279172
2,False,False,normal,,1.7803418883859001,0.498303342327852,0.5548645973279172
3,False,False,normal,,2.3142010540662477,0.43560409891654517,0.5548645973279172
4,False,False,normal,,1.544801416865755,0.40586200315675214,0.5548645973279172
5,False,False,normal,,2.078758406255731,0.45578630752442717,0.5548645973279172
6,False,False,normal,,2.033849059344805,0.45616170315055204,0.5548645973279172
7,False,False,normal,,2.5871538417066593,0.517168509253304,0.5548645973279172
8,False,False,normal,,2.012766075898413,0.46690523601201583,0.5548645973279172
9,False,False,normal,,1.6289588153397003,0.46202269946076824,0.5548645973279172
10,False,False,normal,,2.845124658155811,0.485456145313385,0.5548645973279172
11,False,False,normal,,1.9290435721030583,0.42031359233606724,0.5548645973279172
12,False,False,normal,,1.800824843262752,0.47235172807112535,0.5548645973279172
13,False,False,normal,,2.1879822197655407,0.4101578430078827,0.5548645973279172
14,False,False,normal,,2.459080893925088,0.4397970119410057,0.5548645973279172
15,False,False,normal,,2.7729064556260026,0.5026200623830683,0.5548645973279172
16,False,False,normal,,1.4239249366728077,0.40501557863746507,0.5548645973279172
17,False,False,normal,,2.5659974545305246,0.4462460689763306,0.5548645973279172
18,False,False,normal,,2.023472278429784,0.45156809348252497,0.5548645973279172
19,False,False,normal,,2.222753639184239,0.44896250090748835,0.5548645973279172
20,False,False,normal,,2.1149286525961015,0.42021973962778203,0.5548645973279172
21,False,False,normal,,2.711452853095916,0.47111566984028536,0.5548645973279172
22,False,False,normal,,2.806275422639863,0.5047101896424147,0.5548645973279172
23,False,False,normal,,1.5132805501077515,0.4246770767124068,0.5548645973279172
24,False,False,normal,,2.9227932910652323,0.4695233164412075,0.5548645973279172
25,False,False,normal,,2.349838774950717,0.482938009690532,0.5548645973279172
26,False,False,normal,,2.324584224624698,0.46592589316937444,0.5548645973279172
27,False,False,normal,,2.5688052329002313,0.4843939762770461,0.5548645973279172
28,False,False,normal,,1.9174808733691677,0.45270547592532007,0.5548645973279172
29,False,False,normal,,2.4856233543674575,0.4670865942806216,0.5548645973279172
30,False,True,ml_only_review,,3.889399269974537,0.6443044920524655,0.5548645973279172
31,False,False,normal,,2.9179056768661353,0.5133692828725619,0.5548645973279172
32,False,False,normal,,2.1862803927861987,0.44566888459839993,0.5548645973279172
33,False,False,normal,,2.805268386004929,0.5275810981367525,0.5548645973279172
34,False,False,normal,,1.606352992964,0.4723971122632826,0.5548645973279172
35,False,True,ml_only_review,,4.617667507185876,0.5737755767600414,0.5548645973279172
36,False,False,normal,,3.1239572017863066,0.5134147048524945,0.5548645973279172
37,False,False,normal,,1.5738117721120777,0.48788937118238584,0.5548645973279172
38,False,True,ml_only_review,,3.288142452448391,0.5734135663599002,0.5548645973279172
39,False,False,normal,,2.9444115846382224,0.5181612093716511,0.5548645973279172
40,False,False,normal,,2.0725261518462483,0.45452118132915675,0.5548645973279172
41,False,False,normal,,1.8223083677086944,0.43548167208455707,0.5548645973279172
42,False,False,normal,,2.24830253158895,0.5389998925033459,0.5548645973279172
43,False,False,normal,,3.5606837767718056,0.5547719120122379,0.5548645973279172
44,False,False,normal,,3.927916775775462,0.5178279472310869,0.5548645973279172
45,False,False,normal,,4.007268629831567,0.5345625354097053,0.5548645973279172
46,False,False,normal,,2.3666342437775234,0.5057272523250083,0.5548645973279172
47,False,False,normal,,1.9897477404559545,0.4770981365690699,0.5548645973279172
48,False,False,normal,,2.2587597526658105,0.5512658066819062,0.5548645973279172
49,False,False,normal,,1.894997848053278,0.4421892002663786,0.5548645973279172
50,False,False,normal,,1.7112080379313659,0.4455193466004665,0.5548645973279172
51,False,False,normal,,1.1741135442740722,0.42102461652192846,0.5548645973279172
52,False,False,normal,,3.028325858874502,0.5125137280255647,0.5548645973279172
53,False,False,normal,,1.8977197639510925,0.459070072239452,0.5548645973279172
54,False,False,normal,,2.4633575563492935,0.4676717109524825,0.5548645973279172
55,False,False,normal,,2.9489363437581506,0.5134107881886896,0.5548645973279172
56,False,False,normal,,2.378467414996434,0.5044046119377902,0.5548645973279172
57,False,False,normal,,1.944781689824184,0.45228351047999515,0.5548645973279172
58,False,False,normal,,4.046944556859576,0.5256950171544374,0.5548645973279172
59,False,False,normal,,1.7764756622834326,0.44069489321486083,0.5548645973279172
60,False,False,normal,,2.213172804532566,0.4901251979692663,0.5548645973279172
61,False,False,normal,,2.1448806151355773,0.51743511259222,0.5548645973279172
62,False,False,normal,,3.017221997391966,0.5264670585868788,0.5548645973279172
63,False,False,normal,,3.1649181790824956,0.5256666981793291,0.5548645973279172
64,False,False,normal,,2.694672839079664,0.5319547095778467,0.5548645973279172
65,False,False,normal,,2.6195338798276984,0.446961658458667,0.5548645973279172
66,False,False,normal,,2.585547911326937,0.4461185670344987,0.5548645973279172
67,False,False,normal,,1.9524732511164637,0.4120816033107698,0.5548645973279172
68,False,False,normal,,2.4249548733563153,0.45507744013123325,0.5548645973279172
69,False,False,normal,,2.568253276468567,0.45627170705391273,0.5548645973279172
70,False,False,normal,,1.9707776878456738,0.5070328615032791,0.5548645973279172
71,False,False,normal,,2.25954404424659,0.49055756590903754,0.5548645973279172
72,False,False,normal,,1.5677352787834322,0.44939264755925384,0.5548645973279172
73,False,False,normal,,2.1125559636436737,0.45973916297423556,0.5548645973279172
74,False,False,normal,,2.9377819746091736,0.47559742615116973,0.5548645973279172
75,False,False,normal,,3.097151446576205,0.5393408910285814,0.5548645973279172
76,False,False,normal,,2.285774240448429,0.4490026591631514,0.5548645973279172
77,False,False,normal,,2.813119996841398,0.5379493546284864,0.5548645973279172
78,False,False,normal,,2.952770658153093,0.5048743872781399,0.5548645973279172
79,False,False,normal,,2.5068573227213586,0.5190378080774101,0.5548645973279172
80,False,False,normal,,2.2569498490178397,0.5467843638641813,0.5548645973279172
81,False,False,normal,,1.4657203042472058,0.4188118198317663,0.5548645973279172
82,False,False,normal,,2.518098835379385,0.5425423690726995,0.5548645973279172
83,False,False,normal,,3.7257584809183526,0.5071059637628418,0.5548645973279172
84,False,False,normal,,1.6244777446549017,0.43165382505694394,0.5548645973279172
85,False,False,normal,,2.9870305062535047,0.49581996507943604,0.5548645973279172
86,False,False,normal,,1.2521315637462898,0.4219066436080026,0.5548645973279172
87,False,False,normal,,1.8190811391944641,0.4641378791854513,0.5548645973279172
88,False,False,normal,,2.2009698467130963,0.4422940997773407,0.5548645973279172
89,False,False,normal,,2.984980382364489,0.5448615625268032,0.5548645973279172
90,False,True,ml_only_review,,2.888681114723899,0.5564468514429664,0.5548645973279172
91,False,False,normal,,2.168747211240142,0.495810425449797,0.5548645973279172
92,False,False,normal,,2.0826381345242133,0.4631083162982044,0.5548645973279172
93,False,False,normal,,1.790314978857629,0.4206289727946649,0.5548645973279172
94,False,False,normal,,2.035305449648683,0.4355151348053126,0.5548645973279172
95,False,False,normal,,2.097053088554508,0.4746677477936758,0.5548645973279172
96,False,False,normal,,1.8082092700862031,0.49977578429669484,0.5548645973279172
97,False,False,normal,,2.2225023386031952,0.483305938376585,0.5548645973279172
98,False,False,normal,,2.6979630379063733,0.4784032068670874,0.5548645973279172
99,False,False,normal,,3.220693376500746,0.5053107484239826,0.5548645973279172
100,False,False,normal,,3.1303289093657263,0.49946448818855205,0.5548645973279172
101,False,False,normal,,1.7236986075512102,0.47767070081645885,0.5548645973279172
102,False,False,normal,,2.232469415169014,0.45172024342017364,0.5548645973279172
103,False,False,normal,,2.6979630379063724,0.4710607533158104,0.5548645973279172
104,False,True,ml_only_review,,3.3724537973829722,0.5915698061283376,0.5548645973279172
105,False,False,normal,,2.5293403480372376,0.4875523537381378,0.5548645973279172
106,False,False,normal,,3.3157209297634513,0.5284821746798848,0.5548645973279172
107,False,False,normal,,2.523900906428553,0.47458308682693623,0.5548645973279172
